,Element,Episode,Title,Included,Type_of_element,Category_of_element,HasLocation
8289,River,S10E07,WINTER SOLITUDE,0,Water,Landscape,1
8290,Rocks,S10E07,WINTER SOLITUDE,0,Rocks,Landscape,1
8291,Seashell Frame,S10E07,WINTER SOLITUDE,0,Frame,Execution,0
8292,Snowy Mountain,S10E07,WINTER SOLITUDE,0,Topography,Landscape,1
8293,Snow,S10E07,WINTER SOLITUDE,1,Season_and_weather,Time_and_atmosphere,1
8294,Split Frame,S10E07,WINTER SOLITUDE,0,Frame,Execution,0
8295,Steve Ross,S10E07,WINTER SOLITUDE,0,Painted_by_a_guest,Execution,0
8296,Structure,S10E07,WINTER SOLITUDE,0,Human_built,Human,1
8297,SUN,S10E07,WINTER SOLITUDE,0,Sky,Landscape,0
8298,Tomb Frame,S10E07,WINTER SOLITUDE,0,Frame,Execution,0
8299,Trees,S10E07,WINTER SOLITUDE,1,Vegetation,Landscape,1
8300,Tree,S10E07,WINTER SOLITUDE,1,Vegetation,Landscape,1
8301,Triple Frame,S10E07,WINTER SOLITUDE,0,Frame,Execution,0
8302,Waterfall,S10E07,WINTER SOLITUDE,0,Water,Landscape,1
8303,Waves,S10E07,WINTER SOLITUDE,0,Water,Landscape,1
8304,Windmill,S10E07,WINTER SOLITUDE,0,Human_built,Human,1
8305,Window Frame,S10E07,WINTER SOLITUDE,0,Frame,Execution,0
8306,Winter,S10E07,WINTER SOLITUDE,1,Season_and_weather,Time_and_atmosphere,0
8307,Wood Framed,S10E07,WINTER SOLITUDE,0,Frame,Execution,0
8308,Apple Frame,S10E08,GOLDEN SUNSET,0,Frame,Execution,0
8309,Aurora Borealis,S10E08,GOLDEN SUNSET,0,Sky,Landscape,1
8310,Barn,S10E08,GOLDEN SUNSET,0,Human_built,Human,1
8311,Beach,S10E08,GOLDEN SUNSET,0,Water,Landscape,1
8312,Boat,S10E08,GOLDEN SUNSET,0,Human_presence,Human,1
8313,Bridge,S10E08,GOLDEN SUNSET,0,Human_built,Human,1
8314,Building,S10E08,GOLDEN SUNSET,0,Human_built,Human,1
8315,Bushes,S10E08,GOLDEN SUNSET,0,Vegetation,Landscape,1
8316,Cabin,S10E08,GOLDEN SUNSET,0,Human_built,Human,1
8317,Cactus,S10E08,GOLDEN SUNSET,0,Vegetation,Landscape,1
8318,Circle Frame,S10E08,GOLDEN SUNSET,0,Frame,Execution,0
8319,Cirrus,S10E08,GOLDEN SUNSET,0,Sky,Landscape,0
8320,Cliff,S10E08,GOLDEN SUNSET,0,Topography,Landscape,1
8321,Clouds,S10E08,GOLDEN SUNSET,0,Sky,Landscape,0
8322,Conifer,S10E08,GOLDEN SUNSET,0,Vegetation,Landscape,1
8323,Cumulus,S10E08,GOLDEN SUNSET,0,Sky,Landscape,0
8324,Deciduous,S10E08,GOLDEN SUNSET,1,Vegetation,Landscape,1
8325,Diane Andre,S10E08,GOLDEN SUNSET,0,Painted_by_a_guest,Execution,0
8326,Dock,S10E08,GOLDEN SUNSET,0,Human_built,Human,1
8327,Double Oval Frame,S10E08,GOLDEN SUNSET,0,Frame,Execution,0
8328,Farm,S10E08,GOLDEN SUNSET,0,Human_built,Human,1
8329,Fence,S10E08,GOLDEN SUNSET,0,Human_built,Human,1
8330,Fire,S10E08,GOLDEN SUNSET,0,Human_presence,Human,0
8331,Florida Frame,S10E08,GOLDEN SUNSET,0,Frame,Execution,0
8332,Flowers,S10E08,GOLDEN SUNSET,0,Vegetation,Landscape,1
8333,FOG,S10E08,GOLDEN SUNSET,0,Season_and_weather,Time_and_atmosphere,1
8334,Framed,S10E08,GOLDEN SUNSET,0,Frame,Execution,0
8335,Grass,S10E08,GOLDEN SUNSET,0,Vegetation,Landscape,1
8336,Guest,S10E08,GOLDEN SUNSET,0,Painted_by_a_guest,Execution,0
8337,Half Circle Frame,S10E08,GOLDEN SUNSET,0,Frame,Execution,0
8338,Half Oval Frame,S10E08,GOLDEN SUNSET,0,Frame,Execution,0
8339,Hills,S10E08,GOLDEN SUNSET,0,Topography,Landscape,1
8340,Lakes,S10E08,GOLDEN SUNSET,0,Water,Landscape,1
8341,Lake,S10E08,GOLDEN SUNSET,1,Water,Landscape,1
8342,Lighthouse,S10E08,GOLDEN SUNSET,0,Human_built,Human,1
8343,Mill,S10E08,GOLDEN SUNSET,0,Human_built,Human,1
8344,Moon,S10E08,GOLDEN SUNSET,0,Sky,Landscape,0
8345,Mountains,S10E08,GOLDEN SUNSET,0,Topography,Landscape,1
8346,Mountain,S10E08,GOLDEN SUNSET,0,Topography,Landscape,1
8347,Night,S10E08,GOLDEN SUNSET,0,Time_of_day,Time_and_atmosphere,0
8348,Ocean,S10E08,GOLDEN SUNSET,0,Water,Landscape,1
8349,Oval Frame,S10E08,GOLDEN SUNSET,0,Frame,Execution,0
8350,Palm Trees,S10E08,GOLDEN SUNSET,0,Vegetation,Landscape,1
8351,Path,S10E08,GOLDEN SUNSET,0,Human_built,Human,1
8352,Person,S10E08,GOLDEN SUNSET,0,Person,Human,0
8353,Portrait,S10E08,GOLDEN SUNSET,0,Painting_type,Human,0
8354,Rectangle 3D Frame,S10E08,GOLDEN SUNSET,0,Frame,Execution,0
8355,Rectangular Frame,S10E08,GOLDEN SUNSET,0,Frame,Execution,0
8356,River,S10E08,GOLDEN SUNSET,0,Water,Landscape,1
8357,Rocks,S10E08,GOLDEN SUNSET,0,Rocks,Landscape,1
8358,Seashell Frame,S10E08,GOLDEN SUNSET,0,Frame,Execution,0
8359,Snowy Mountain,S10E08,GOLDEN SUNSET,0,Topography,Landscape,1
8360,Snow,S10E08,GOLDEN SUNSET,1,Season_and_weather,Time_and_atmosphere,1
8361,Split Frame,S10E08,GOLDEN SUNSET,0,Frame,Execution,0
8362,Steve Ross,S10E08,GOLDEN SUNSET,0,Painted_by_a_guest,Execution,0
8363,Structure,S10E08,GOLDEN SUNSET,0,Human_built,Human,1
8364,SUN,S10E08,GOLDEN SUNSET,1,Sky,Landscape,0
8365,Tomb Frame,S10E08,GOLDEN SUNSET,0,Frame,Execution,0
8366,Trees,S10E08,GOLDEN SUNSET,1,Vegetation,Landscape,1
8367,Tree,S10E08,GOLDEN SUNSET,1,Vegetation,Landscape,1
8368,Triple Frame,S10E08,GOLDEN SUNSET,0,Frame,Execution,0
8369,Waterfall,S10E08,GOLDEN SUNSET,0,Water,Landscape,1
8370,Waves,S10E08,GOLDEN SUNSET,0,Water,Landscape,1
8371,Windmill,S10E08,GOLDEN SUNSET,0,Human_built,Human,1
8372,Window Frame,S10E08,GOLDEN SUNSET,0,Frame,Execution,0
8373,Winter,S10E08,GOLDEN SUNSET,0,Season_and_weather,Time_and_atmosphere,0
8374,Wood Framed,S10E08,GOLDEN SUNSET,0,Frame,Execution,0
8375,Apple Frame,S10E09,MOUNTAIN OVAL,0,Frame,Execution,0
8376,Aurora Borealis,S10E09,MOUNTAIN OVAL,0,Sky,Landscape,1
8377,Barn,S10E09,MOUNTAIN OVAL,0,Human_built,Human,1
8378,Beach,S10E09,MOUNTAIN OVAL,0,Water,Landscape,1
8379,Boat,S10E09,MOUNTAIN OVAL,0,Human_presence,Human,1
8380,Bridge,S10E09,MOUNTAIN OVAL,0,Human_built,Human,1
8381,Building,S10E09,MOUNTAIN OVAL,0,Human_built,Human,1
8382,Bushes,S10E09,MOUNTAIN OVAL,1,Vegetation,Landscape,1
8383,Cabin,S10E09,MOUNTAIN OVAL,0,Human_built,Human,1
8384,Cactus,S10E09,MOUNTAIN OVAL,0,Vegetation,Landscape,1
8385,Circle Frame,S10E09,MOUNTAIN OVAL,0,Frame,Execution,0
8386,Cirrus,S10E09,MOUNTAIN OVAL,1,Sky,Landscape,0
8387,Cliff,S10E09,MOUNTAIN OVAL,0,Topography,Landscape,1
8388,Clouds,S10E09,MOUNTAIN OVAL,1,Sky,Landscape,0
8389,Conifer,S10E09,MOUNTAIN OVAL,1,Vegetation,Landscape,1
8390,Cumulus,S10E09,MOUNTAIN OVAL,0,Sky,Landscape,0
8391,Deciduous,S10E09,MOUNTAIN OVAL,1,Vegetation,Landscape,1
8392,Diane Andre,S10E09,MOUNTAIN OVAL,0,Painted_by_a_guest,Execution,0
8393,Dock,S10E09,MOUNTAIN OVAL,0,Human_built,Human,1
8394,Double Oval Frame,S10E09,MOUNTAIN OVAL,0,Frame,Execution,0
8395,Farm,S10E09,MOUNTAIN OVAL,0,Human_built,Human,1
8396,Fence,S10E09,MOUNTAIN OVAL,0,Human_built,Human,1
8397,Fire,S10E09,MOUNTAIN OVAL,0,Human_presence,Human,0
8398,Florida Frame,S10E09,MOUNTAIN OVAL,0,Frame,Execution,0
8399,Flowers,S10E09,MOUNTAIN OVAL,0,Vegetation,Landscape,1
8400,FOG,S10E09,MOUNTAIN OVAL,0,Season_and_weather,Time_and_atmosphere,1
8401,Framed,S10E09,MOUNTAIN OVAL,1,Frame,Execution,0
8402,Grass,S10E09,MOUNTAIN OVAL,0,Vegetation,Landscape,1
8403,Guest,S10E09,MOUNTAIN OVAL,1,Painted_by_a_guest,Execution,0
8404,Half Circle Frame,S10E09,MOUNTAIN OVAL,0,Frame,Execution,0
8405,Half Oval Frame,S10E09,MOUNTAIN OVAL,0,Frame,Execution,0
8406,Hills,S10E09,MOUNTAIN OVAL,0,Topography,Landscape,1
8407,Lakes,S10E09,MOUNTAIN OVAL,0,Water,Landscape,1
8408,Lake,S10E09,MOUNTAIN OVAL,1,Water,Landscape,1
8409,Lighthouse,S10E09,MOUNTAIN OVAL,0,Human_built,Human,1
8410,Mill,S10E09,MOUNTAIN OVAL,0,Human_built,Human,1
8411,Moon,S10E09,MOUNTAIN OVAL,0,Sky,Landscape,0
8412,Mountains,S10E09,MOUNTAIN OVAL,1,Topography,Landscape,1
8413,Mountain,S10E09,MOUNTAIN OVAL,1,Topography,Landscape,1
8414,Night,S10E09,MOUNTAIN OVAL,0,Time_of_day,Time_and_atmosphere,0
8415,Ocean,S10E09,MOUNTAIN OVAL,0,Water,Landscape,1
8416,Oval Frame,S10E09,MOUNTAIN OVAL,1,Frame,Execution,0
8417,Palm Trees,S10E09,MOUNTAIN OVAL,0,Vegetation,Landscape,1
8418,Path,S10E09,MOUNTAIN OVAL,0,Human_built,Human,1
8419,Person,S10E09,MOUNTAIN OVAL,0,Person,Human,0
8420,Portrait,S10E09,MOUNTAIN OVAL,0,Painting_type,Human,0
8421,Rectangle 3D Frame,S10E09,MOUNTAIN OVAL,0,Frame,Execution,0
8422,Rectangular Frame,S10E09,MOUNTAIN OVAL,0,Frame,Execution,0
8423,River,S10E09,MOUNTAIN OVAL,0,Water,Landscape,1
8424,Rocks,S10E09,MOUNTAIN OVAL,0,Rocks,Landscape,1
8425,Seashell Frame,S10E09,MOUNTAIN OVAL,0,Frame,Execution,0
8426,Snowy Mountain,S10E09,MOUNTAIN OVAL,1,Topography,Landscape,1
8427,Snow,S10E09,MOUNTAIN OVAL,0,Season_and_weather,Time_and_atmosphere,1
8428,Split Frame,S10E09,MOUNTAIN OVAL,0,Frame,Execution,0
8429,Steve Ross,S10E09,MOUNTAIN OVAL,1,Painted_by_a_guest,Execution,0
8430,Structure,S10E09,MOUNTAIN OVAL,0,Human_built,Human,1
8431,SUN,S10E09,MOUNTAIN OVAL,0,Sky,Landscape,0
8432,Tomb Frame,S10E09,MOUNTAIN OVAL,0,Frame,Execution,0
8433,Trees,S10E09,MOUNTAIN OVAL,1,Vegetation,Landscape,1
8434,Tree,S10E09,MOUNTAIN OVAL,1,Vegetation,Landscape,1
8435,Triple Frame,S10E09,MOUNTAIN OVAL,0,Frame,Execution,0
8436,Waterfall,S10E09,MOUNTAIN OVAL,0,Water,Landscape,1
8437,Waves,S10E09,MOUNTAIN OVAL,0,Water,Landscape,1
8438,Windmill,S10E09,MOUNTAIN OVAL,0,Human_built,Human,1
8439,Window Frame,S10E09,MOUNTAIN OVAL,0,Frame,Execution,0
8440,Winter,S10E09,MOUNTAIN OVAL,0,Season_and_weather,Time_and_atmosphere,0
8441,Wood Framed,S10E09,MOUNTAIN OVAL,0,Frame,Execution,0
8442,Apple Frame,S10E10,OCEAN SUNSET,0,Frame,Execution,0
8443,Aurora Borealis,S10E10,OCEAN SUNSET,0,Sky,Landscape,1
8444,Barn,S10E10,OCEAN SUNSET,0,Human_built,Human,1
8445,Beach,S10E10,OCEAN SUNSET,1,Water,Landscape,1
8446,Boat,S10E10,OCEAN SUNSET,0,Human_presence,Human,1
8447,Bridge,S10E10,OCEAN SUNSET,0,Human_built,Human,1
8448,Building,S10E10,OCEAN SUNSET,0,Human_built,Human,1
8449,Bushes,S10E10,OCEAN SUNSET,0,Vegetation,Landscape,1
8450,Cabin,S10E10,OCEAN SUNSET,0,Human_built,Human,1
8451,Cactus,S10E10,OCEAN SUNSET,0,Vegetation,Landscape,1
8452,Circle Frame,S10E10,OCEAN SUNSET,0,Frame,Execution,0
8453,Cirrus,S10E10,OCEAN SUNSET,0,Sky,Landscape,0
8454,Cliff,S10E10,OCEAN SUNSET,0,Topography,Landscape,1
8455,Clouds,S10E10,OCEAN SUNSET,1,Sky,Landscape,0
8456,Conifer,S10E10,OCEAN SUNSET,0,Vegetation,Landscape,1
8457,Cumulus,S10E10,OCEAN SUNSET,0,Sky,Landscape,0
8458,Deciduous,S10E10,OCEAN SUNSET,0,Vegetation,Landscape,1
8459,Diane Andre,S10E10,OCEAN SUNSET,0,Painted_by_a_guest,Execution,0
8460,Dock,S10E10,OCEAN SUNSET,0,Human_built,Human,1
8461,Double Oval Frame,S10E10,OCEAN SUNSET,0,Frame,Execution,0
8462,Farm,S10E10,OCEAN SUNSET,0,Human_built,Human,1
8463,Fence,S10E10,OCEAN SUNSET,0,Human_built,Human,1
8464,Fire,S10E10,OCEAN SUNSET,0,Human_presence,Human,0
8465,Florida Frame,S10E10,OCEAN SUNSET,0,Frame,Execution,0
8466,Flowers,S10E10,OCEAN SUNSET,0,Vegetation,Landscape,1
8467,FOG,S10E10,OCEAN SUNSET,0,Season_and_weather,Time_and_atmosphere,1
8468,Framed,S10E10,OCEAN SUNSET,0,Frame,Execution,0
8469,Grass,S10E10,OCEAN SUNSET,0,Vegetation,Landscape,1
8470,Guest,S10E10,OCEAN SUNSET,0,Painted_by_a_guest,Execution,0
8471,Half Circle Frame,S10E10,OCEAN SUNSET,0,Frame,Execution,0
8472,Half Oval Frame,S10E10,OCEAN SUNSET,0,Frame,Execution,0
8473,Hills,S10E10,OCEAN SUNSET,0,Topography,Landscape,1
8474,Lakes,S10E10,OCEAN SUNSET,0,Water,Landscape,1
8475,Lake,S10E10,OCEAN SUNSET,0,Water,Landscape,1
8476,Lighthouse,S10E10,OCEAN SUNSET,0,Human_built,Human,1
8477,Mill,S10E10,OCEAN SUNSET,0,Human_built,Human,1
8478,Moon,S10E10,OCEAN SUNSET,0,Sky,Landscape,0
8479,Mountains,S10E10,OCEAN SUNSET,0,Topography,Landscape,1
8480,Mountain,S10E10,OCEAN SUNSET,0,Topography,Landscape,1
8481,Night,S10E10,OCEAN SUNSET,0,Time_of_day,Time_and_atmosphere,0
8482,Ocean,S10E10,OCEAN SUNSET,1,Water,Landscape,1
8483,Oval Frame,S10E10,OCEAN SUNSET,0,Frame,Execution,0
8484,Palm Trees,S10E10,OCEAN SUNSET,0,Vegetation,Landscape,1
8485,Path,S10E10,OCEAN SUNSET,0,Human_built,Human,1
8486,Person,S10E10,OCEAN SUNSET,0,Person,Human,0
8487,Portrait,S10E10,OCEAN SUNSET,0,Painting_type,Human,0
8488,Rectangle 3D Frame,S10E10,OCEAN SUNSET,0,Frame,Execution,0
8489,Rectangular Frame,S10E10,OCEAN SUNSET,0,Frame,Execution,0
8490,River,S10E10,OCEAN SUNSET,0,Water,Landscape,1
8491,Rocks,S10E10,OCEAN SUNSET,1,Rocks,Landscape,1
8492,Seashell Frame,S10E10,OCEAN SUNSET,0,Frame,Execution,0
8493,Snowy Mountain,S10E10,OCEAN SUNSET,0,Topography,Landscape,1
8494,Snow,S10E10,OCEAN SUNSET,0,Season_and_weather,Time_and_atmosphere,1
8495,Split Frame,S10E10,OCEAN SUNSET,0,Frame,Execution,0
8496,Steve Ross,S10E10,OCEAN SUNSET,0,Painted_by_a_guest,Execution,0
8497,Structure,S10E10,OCEAN SUNSET,0,Human_built,Human,1
8498,SUN,S10E10,OCEAN SUNSET,0,Sky,Landscape,0
8499,Tomb Frame,S10E10,OCEAN SUNSET,0,Frame,Execution,0
8500,Trees,S10E10,OCEAN SUNSET,0,Vegetation,Landscape,1
8501,Tree,S10E10,OCEAN SUNSET,0,Vegetation,Landscape,1
8502,Triple Frame,S10E10,OCEAN SUNSET,0,Frame,Execution,0
8503,Waterfall,S10E10,OCEAN SUNSET,0,Water,Landscape,1
8504,Waves,S10E10,OCEAN SUNSET,1,Water,Landscape,1
8505,Windmill,S10E10,OCEAN SUNSET,0,Human_built,Human,1
8506,Window Frame,S10E10,OCEAN SUNSET,0,Frame,Execution,0
8507,Winter,S10E10,OCEAN SUNSET,0,Season_and_weather,Time_and_atmosphere,0
8508,Wood Framed,S10E10,OCEAN SUNSET,0,Frame,Execution,0
8509,Apple Frame,S10E11,TRIPLE VIEW,0,Frame,Execution,0
8510,Aurora Borealis,S10E11,TRIPLE VIEW,0,Sky,Landscape,1
8511,Barn,S10E11,TRIPLE VIEW,0,Human_built,Human,1
8512,Beach,S10E11,TRIPLE VIEW,0,Water,Landscape,1
8513,Boat,S10E11,TRIPLE VIEW,0,Human_presence,Human,1
8514,Bridge,S10E11,TRIPLE VIEW,0,Human_built,Human,1
8515,Building,S10E11,TRIPLE VIEW,0,Human_built,Human,1
8516,Bushes,S10E11,TRIPLE VIEW,0,Vegetation,Landscape,1
8517,Cabin,S10E11,TRIPLE VIEW,1,Human_built,Human,1
8518,Cactus,S10E11,TRIPLE VIEW,0,Vegetation,Landscape,1
8519,Circle Frame,S10E11,TRIPLE VIEW,0,Frame,Execution,0
8520,Cirrus,S10E11,TRIPLE VIEW,0,Sky,Landscape,0
8521,Cliff,S10E11,TRIPLE VIEW,0,Topography,Landscape,1
8522,Clouds,S10E11,TRIPLE VIEW,0,Sky,Landscape,0
8523,Conifer,S10E11,TRIPLE VIEW,1,Vegetation,Landscape,1
8524,Cumulus,S10E11,TRIPLE VIEW,0,Sky,Landscape,0
8525,Deciduous,S10E11,TRIPLE VIEW,1,Vegetation,Landscape,1
8526,Diane Andre,S10E11,TRIPLE VIEW,0,Painted_by_a_guest,Execution,0
8527,Dock,S10E11,TRIPLE VIEW,0,Human_built,Human,1
8528,Double Oval Frame,S10E11,TRIPLE VIEW,0,Frame,Execution,0
8529,Farm,S10E11,TRIPLE VIEW,0,Human_built,Human,1
8530,Fence,S10E11,TRIPLE VIEW,0,Human_built,Human,1
8531,Fire,S10E11,TRIPLE VIEW,0,Human_presence,Human,0
8532,Florida Frame,S10E11,TRIPLE VIEW,0,Frame,Execution,0
8533,Flowers,S10E11,TRIPLE VIEW,0,Vegetation,Landscape,1
8534,FOG,S10E11,TRIPLE VIEW,0,Season_and_weather,Time_and_atmosphere,1
8535,Framed,S10E11,TRIPLE VIEW,1,Frame,Execution,0
8536,Grass,S10E11,TRIPLE VIEW,1,Vegetation,Landscape,1
8537,Guest,S10E11,TRIPLE VIEW,0,Painted_by_a_guest,Execution,0
8538,Half Circle Frame,S10E11,TRIPLE VIEW,0,Frame,Execution,0
8539,Half Oval Frame,S10E11,TRIPLE VIEW,0,Frame,Execution,0
8540,Hills,S10E11,TRIPLE VIEW,0,Topography,Landscape,1
8541,Lakes,S10E11,TRIPLE VIEW,0,Water,Landscape,1
8542,Lake,S10E11,TRIPLE VIEW,0,Water,Landscape,1
8543,Lighthouse,S10E11,TRIPLE VIEW,0,Human_built,Human,1
8544,Mill,S10E11,TRIPLE VIEW,0,Human_built,Human,1
8545,Moon,S10E11,TRIPLE VIEW,0,Sky,Landscape,0
8546,Mountains,S10E11,TRIPLE VIEW,1,Topography,Landscape,1
8547,Mountain,S10E11,TRIPLE VIEW,1,Topography,Landscape,1
8548,Night,S10E11,TRIPLE VIEW,0,Time_of_day,Time_and_atmosphere,0
8549,Ocean,S10E11,TRIPLE VIEW,0,Water,Landscape,1
8550,Oval Frame,S10E11,TRIPLE VIEW,0,Frame,Execution,0
8551,Palm Trees,S10E11,TRIPLE VIEW,0,Vegetation,Landscape,1
8552,Path,S10E11,TRIPLE VIEW,1,Human_built,Human,1
8553,Person,S10E11,TRIPLE VIEW,0,Person,Human,0
8554,Portrait,S10E11,TRIPLE VIEW,0,Painting_type,Human,0
8555,Rectangle 3D Frame,S10E11,TRIPLE VIEW,0,Frame,Execution,0
8556,Rectangular Frame,S10E11,TRIPLE VIEW,0,Frame,Execution,0
8557,River,S10E11,TRIPLE VIEW,0,Water,Landscape,1
8558,Rocks,S10E11,TRIPLE VIEW,0,Rocks,Landscape,1
8559,Seashell Frame,S10E11,TRIPLE VIEW,0,Frame,Execution,0
8560,Snowy Mountain,S10E11,TRIPLE VIEW,1,Topography,Landscape,1
8561,Snow,S10E11,TRIPLE VIEW,0,Season_and_weather,Time_and_atmosphere,1
8562,Split Frame,S10E11,TRIPLE VIEW,0,Frame,Execution,0
8563,Steve Ross,S10E11,TRIPLE VIEW,0,Painted_by_a_guest,Execution,0
8564,Structure,S10E11,TRIPLE VIEW,1,Human_built,Human,1
8565,SUN,S10E11,TRIPLE VIEW,0,Sky,Landscape,0
8566,Tomb Frame,S10E11,TRIPLE VIEW,0,Frame,Execution,0
8567,Trees,S10E11,TRIPLE VIEW,1,Vegetation,Landscape,1
8568,Tree,S10E11,TRIPLE VIEW,1,Vegetation,Landscape,1
8569,Triple Frame,S10E11,TRIPLE VIEW,1,Frame,Execution,0
8570,Waterfall,S10E11,TRIPLE VIEW,0,Water,Landscape,1
8571,Waves,S10E11,TRIPLE VIEW,0,Water,Landscape,1
8572,Windmill,S10E11,TRIPLE VIEW,0,Human_built,Human,1
8573,Window Frame,S10E11,TRIPLE VIEW,0,Frame,Execution,0
8574,Winter,S10E11,TRIPLE VIEW,0,Season_and_weather,Time_and_atmosphere,0
8575,Wood Framed,S10E11,TRIPLE VIEW,0,Frame,Execution,0
8576,Apple Frame,S10E12,WINTER FROST,0,Frame,Execution,0
8577,Aurora Borealis,S10E12,WINTER FROST,0,Sky,Landscape,1
8578,Barn,S10E12,WINTER FROST,0,Human_built,Human,1
8579,Beach,S10E12,WINTER FROST,0,Water,Landscape,1
8580,Boat,S10E12,WINTER FROST,0,Human_presence,Human,1
8581,Bridge,S10E12,WINTER FROST,0,Human_built,Human,1
8582,Building,S10E12,WINTER FROST,0,Human_built,Human,1
8583,Bushes,S10E12,WINTER FROST,0,Vegetation,Landscape,1
8584,Cabin,S10E12,WINTER FROST,0,Human_built,Human,1
8585,Cactus,S10E12,WINTER FROST,0,Vegetation,Landscape,1
8586,Circle Frame,S10E12,WINTER FROST,0,Frame,Execution,0
8587,Cirrus,S10E12,WINTER FROST,0,Sky,Landscape,0
8588,Cliff,S10E12,WINTER FROST,0,Topography,Landscape,1
8589,Clouds,S10E12,WINTER FROST,1,Sky,Landscape,0
8590,Conifer,S10E12,WINTER FROST,1,Vegetation,Landscape,1
8591,Cumulus,S10E12,WINTER FROST,0,Sky,Landscape,0
8592,Deciduous,S10E12,WINTER FROST,1,Vegetation,Landscape,1
8593,Diane Andre,S10E12,WINTER FROST,0,Painted_by_a_guest,Execution,0
8594,Dock,S10E12,WINTER FROST,0,Human_built,Human,1
8595,Double Oval Frame,S10E12,WINTER FROST,0,Frame,Execution,0
8596,Farm,S10E12,WINTER FROST,0,Human_built,Human,1
8597,Fence,S10E12,WINTER FROST,0,Human_built,Human,1
8598,Fire,S10E12,WINTER FROST,0,Human_presence,Human,0
8599,Florida Frame,S10E12,WINTER FROST,0,Frame,Execution,0
8600,Flowers,S10E12,WINTER FROST,0,Vegetation,Landscape,1
8601,FOG,S10E12,WINTER FROST,0,Season_and_weather,Time_and_atmosphere,1
8602,Framed,S10E12,WINTER FROST,0,Frame,Execution,0
8603,Grass,S10E12,WINTER FROST,0,Vegetation,Landscape,1
8604,Guest,S10E12,WINTER FROST,0,Painted_by_a_guest,Execution,0
8605,Half Circle Frame,S10E12,WINTER FROST,0,Frame,Execution,0
8606,Half Oval Frame,S10E12,WINTER FROST,0,Frame,Execution,0
8607,Hills,S10E12,WINTER FROST,0,Topography,Landscape,1
8608,Lakes,S10E12,WINTER FROST,0,Water,Landscape,1
8609,Lake,S10E12,WINTER FROST,0,Water,Landscape,1
8610,Lighthouse,S10E12,WINTER FROST,0,Human_built,Human,1
8611,Mill,S10E12,WINTER FROST,0,Human_built,Human,1
8612,Moon,S10E12,WINTER FROST,0,Sky,Landscape,0
8613,Mountains,S10E12,WINTER FROST,1,Topography,Landscape,1
8614,Mountain,S10E12,WINTER FROST,1,Topography,Landscape,1
8615,Night,S10E12,WINTER FROST,0,Time_of_day,Time_and_atmosphere,0
8616,Ocean,S10E12,WINTER FROST,0,Water,Landscape,1
8617,Oval Frame,S10E12,WINTER FROST,0,Frame,Execution,0
8618,Palm Trees,S10E12,WINTER FROST,0,Vegetation,Landscape,1
8619,Path,S10E12,WINTER FROST,0,Human_built,Human,1
8620,Person,S10E12,WINTER FROST,0,Person,Human,0
8621,Portrait,S10E12,WINTER FROST,0,Painting_type,Human,0
8622,Rectangle 3D Frame,S10E12,WINTER FROST,0,Frame,Execution,0
8623,Rectangular Frame,S10E12,WINTER FROST,0,Frame,Execution,0
8624,River,S10E12,WINTER FROST,0,Water,Landscape,1
8625,Rocks,S10E12,WINTER FROST,0,Rocks,Landscape,1
8626,Seashell Frame,S10E12,WINTER FROST,0,Frame,Execution,0
8627,Snowy Mountain,S10E12,WINTER FROST,1,Topography,Landscape,1
8628,Snow,S10E12,WINTER FROST,1,Season_and_weather,Time_and_atmosphere,1
8629,Split Frame,S10E12,WINTER FROST,0,Frame,Execution,0
8630,Steve Ross,S10E12,WINTER FROST,0,Painted_by_a_guest,Execution,0
8631,Structure,S10E12,WINTER FROST,0,Human_built,Human,1
8632,SUN,S10E12,WINTER FROST,1,Sky,Landscape,0
8633,Tomb Frame,S10E12,WINTER FROST,0,Frame,Execution,0
8634,Trees,S10E12,WINTER FROST,1,Vegetation,Landscape,1
8635,Tree,S10E12,WINTER FROST,1,Vegetation,Landscape,1
8636,Triple Frame,S10E12,WINTER FROST,0,Frame,Execution,0
8637,Waterfall,S10E12,WINTER FROST,0,Water,Landscape,1
8638,Waves,S10E12,WINTER FROST,0,Water,Landscape,1
8639,Windmill,S10E12,WINTER FROST,0,Human_built,Human,1
8640,Window Frame,S10E12,WINTER FROST,0,Frame,Execution,0
8641,Winter,S10E12,WINTER FROST,1,Season_and_weather,Time_and_atmosphere,0
8642,Wood Framed,S10E12,WINTER FROST,0,Frame,Execution,0
8643,Apple Frame,S10E13,LAKESIDE CABIN,0,Frame,Execution,0
8644,Aurora Borealis,S10E13,LAKESIDE CABIN,0,Sky,Landscape,1
8645,Barn,S10E13,LAKESIDE CABIN,0,Human_built,Human,1
8646,Beach,S10E13,LAKESIDE CABIN,0,Water,Landscape,1
8647,Boat,S10E13,LAKESIDE CABIN,0,Human_presence,Human,1
8648,Bridge,S10E13,LAKESIDE CABIN,0,Human_built,Human,1
8649,Building,S10E13,LAKESIDE CABIN,0,Human_built,Human,1
8650,Bushes,S10E13,LAKESIDE CABIN,0,Vegetation,Landscape,1
8651,Cabin,S10E13,LAKESIDE CABIN,1,Human_built,Human,1
8652,Cactus,S10E13,LAKESIDE CABIN,0,Vegetation,Landscape,1
8653,Circle Frame,S10E13,LAKESIDE CABIN,0,Frame,Execution,0
8654,Cirrus,S10E13,LAKESIDE CABIN,0,Sky,Landscape,0
